Row Labels,Sum of total_pop,pc_year-to-year_total,Sum of vet_total,pc_year_to_year_vets,Sum of total_ed_attain,pc_total_ed_attain,Sum of total_bach_higher,perc_point_diff_total_bach_higher,Sum of total_hs_eqv,pcd_total_hs_eqv,Sum of vet_attain,pc_vet_attain,Sum of vet_bach_higher,pcd_vet_bach_higher,Sum of vet_hs_eqv,pcd_vet_hs_eqv,Sum of total_unemploy_rate,pcd_total_unemploy_rate,Sum of vet_unemploy_rate,pcd_vet_unemploy_rate
2006,14016217,5.47%,1747213,1.71%,12426863,5.18%,25.3,0.2,31.2,0.6,1719412,1.48%,27.6,-0.2,28.9,0.4,5.2,-0.8,4.6,0.2
2007,14155099,0.99%,1709427,-2.16%,12554558,1.03%,25.7,0.4,31.5,0.9,1691703,-1.61%,27.8,0.2,30,1.1,5.9,0.7,4.8,0.2
2008,14266412,0.79%,1655847,-3.13%,12660650,0.85%,25.8,0.1,30,-0.6,1638147,-3.17%,28.3,0.5,28.4,-1.6,7.2,1.3,5.8,1
2009,14412206,1.02%,1591864,-3.86%,12755229,0.75%,25.2,-0.6,30.3,-0.3,1579146,-3.60%,27,-1.3,28.6,0.2,11.9,4.7,10.6,4.8
2010,14789132,2.62%,1616185,1.53%,13044600,2.27%,25.8,0.6,30,-0.6,1594835,0.99%,28.4,1.4,28.3,-0.3,13.2,1.3,12.6,2
2011,15012091,1.51%,1571482,-2.77%,13235360,1.46%,25.8,0,30.5,-0.1,1553653,-2.58%,28.1,-0.3,29.2,0.9,12.2,-1,11.1,-1.5
2012,15264844,1.68%,1559672,-0.75%,13470764,1.78%,26.8,1,29.8,-0.8,1542260,-0.73%,29.3,1.2,27.8,-1.4,11.4,-0.8,9.1,-2
2013,15471123,1.35%,1455002,-6.71%,13694200,1.66%,27.2,0.4,29.5,-1.1,1440566,-6.59%,29.2,-0.1,27.8,0,9.6,-1.8,8.2,-0.9
2014,15785763,2.03%,1461722,0.46%,14007939,2.29%,27.2,0,29.6,-1,1447372,0.47%,29.5,0.3,28.2,0.4,8,-1.6,6.6,-1.6
2015,16114409,2.08%,1460919,-0.05%,14357213,2.49%,28.4,1.2,29.2,-1.4,1444178,-0.22%,30.2,0.7,27,-1.2,7,-1,6.2,-0.4
2016,16404755,1.80%,1429330,-2.16%,14662681,2.13%,28.6,0.2,29,-1.6,1414778,-2.04%,30.8,0.6,26.8,-0.2,5.9,-1.1,5.1,-1.1
Texas,220879752,,18793701,,190196274,,317.2,,309.2,,18418282,,342.6,,295.1,,81.2,,70.7,
2005,15899260,,1612948,,13716063,,25.1,,26.3,,1582277,,27.3,,26,,7.3,,5.4,
2006,16924145,6.45%,1660455,2.95%,14502421,5.73%,24.7,-0.4,27.3,1,1622590,2.55%,27.2,-0.1,26.8,0.8,6.7,-0.6,5,-0.4
2007,17190551,1.57%,1613252,-2.84%,14786798,1.96%,25.1,0.4,27.1,0.8,1581537,-2.53%,27.5,0.3,26.1,-0.7,5.6,-1.1,4.7,-0.3
2008,17493335,1.76%,1603981,-0.57%,15053130,1.80%,25.3,0.2,25.5,-0.8,1571717,-0.62%,27.3,-0.2,24.7,-1.4,5.1,-0.5,3.9,-0.8
2009,17785992,1.67%,1581873,-1.38%,15290775,1.58%,25.5,0.2,25.5,-0.8,1552715,-1.21%,27.6,0.3,25.1,0.4,8,2.9,7.6,3.7
2010,18268116,2.71%,1609732,1.76%,15711244,2.75%,25.9,0.4,25.6,-0.7,1576129,1.51%,28.8,1.2,24.1,-1,8.6,0.6,8.1,0.5
2011,18617868,1.91%,1593072,-1.03%,16010866,1.91%,26.4,0.5,25.6,-0.7,1558008,-1.15%,29.1,0.3,24.7,0.6,8.3,-0.3,7.9,-0.2
2012,18982973,1.96%,1607667,0.92%,16333797,2.02%,26.7,0.3,25.2,-1.1,1573459,0.99%,28.5,-0.6,23.8,-0.9,7.8,-0.5,6.6,-1.3
2013,19318495,1.77%,1483389,-7.73%,16621918,1.76%,27.5,0.8,25.3,-1,1455868,-7.47%,29.3,0.8,23.6,-0.2,6.9,-0.9,6.2,-0.4
2014,19753531,2.25%,1496724,0.90%,17032489,2.47%,27.8,0.3,25.2,-1.1,1465557,0.67%,29.1,-0.2,23.6,0,5.9,-1,5.5,-0.7
2015,20163908,2.08%,1469981,-1.79%,17414620,2.24%,28.3,0.5,25.4,-0.9,1439608,-1.77%,30.3,1.2,23.8,0.2,5.5,-0.4,4.8,-0.7
2016,20481578,1.58%,1460627,-0.64%,17722153,1.77%,28.9,0.6,25.2,-1.1,1438817,-0.05%,30.6,0.3,22.8,-1,5.5,0,5,0.2
Grand Total,737177521,,60605711,,640600828,,1000.8,,925.9,,59618326,,1062.4,,883.9,,291,,255.8,
