fdid,fire_dept_name,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,mail_addr1,mail_addr2,mail_po_box,mail_city,mail_state,mail_zip,hq_phone,hq_fax,county,dept_type,org_type,website,no_of_stations,active_firefighters_career,active_firefighters_volunteer,active_firefighters_paid_per_call,nonfirefighting_civilian,nonfirefighting_volunteer,primary_agency_for_em
"06032","Boynton Beach Fire Rescue Department","2080 High Ridge RD","","Boynton Beach","FL","33426-8714","2080 High Ridge RD","","","Boynton Beach","FL","33426-8714","561-742-6331","561-742-6334","PALM BEACH               ","Career","Local (includes career  combination  and volunteer)","https://www.bbfrd.org/","5","135","0","0","14","0","Yes"
"15052","Bradenton Fire Department","1010 9TH AVE W","","Bradenton","FL","34205-7716","1010 9TH AVE W","","","Bradenton","FL","34205-7716","941-932-9600","941-932-9640","MANATEE                  ","Career","Local (includes career  combination  and volunteer)","https://www.cityofbradenton.com/","3","62","0","0","5","0","Yes"
"31012","Branford Volunteer Fire Department","108 Express ST","","Branford","FL","32008","","","PO Box 577","Branford","FL","32008-0577","386-935-1146","386-935-3050","SUWANNEE                 ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","15","0","0","0","Yes"
"09011","Brent Volunteer Fire Department","5925 North W ST","","Pensacola","FL","32505-0096","","","PO Box 37096","Pensacola","FL","32526","850-494-7275","850-494-7277","ESCAMBIA                 ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","1","12","25","0","0","3",""
"19182","Brevard County Fire Rescue","1040 Florida AVE S","","Rockledge","FL","32955-2498","1040 Florida AVE S","","","Rockledge","FL","32955-2498","321-633-2056","321-633-2057","BREVARD                  ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.brevardfire.com/","33","490","246","0","30","56","Yes"
"67011","Bristol Volunteer Fire Department","1244 NW Virginia G. Weaver ST","PO Box 207","Bristol","FL","32321","","","PO Box 207","Bristol","FL","32321","850-643-2261","850-643-4525","LIBERTY                  ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","12","1","0","0",""
"40012","Brooksville Fire Department","85 Veterans AVE","","Brooksville","FL","34601-3214","85 Veterans AVE","","","Brooksville","FL","34601-3214","352-540-3840","352-544-5462","HERNANDO                 ","Career","Local (includes career  combination  and volunteer)","https://www.cityofbrooksville.us/index.php?option=com_content&view=category&id=55:fire&layout=blog&It","1","22","0","0","1","0","Yes"
"10282","Broward Sheriff's Office Department of Fire Rescue","2601 W Broward BLVD","","Fort Lauderdale","FL","33312","2601 W Broward BLVD","","","Fort Lauderdale","FL","33312-1308","954-831-8200","954-831-8265","BROWARD                  ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.sheriff.org/about_bso/dfres/","16","534","25","0","35","0","No"
"60041","Buckhead Ridge Community Volunteer Fire Company  Inc.","30076 E State Road 78","","Okeechobee","FL","34974","30076 E State Road 78","","","Okeechobee","FL","34974-0415","863-763-3372","","GLADES                   ","Volunteer","Local (includes career  combination  and volunteer)","https://www.bhrvfd.9f.com/","1","0","0","10","0","5","No"
"61012","Bunnell Fire Department","1600 Old Moody BLVD","PO Box  756","Bunnell","FL","32110-0756","","","PO Box 756","Bunnell","FL","32110-0756","(386) 437-7505","(386) 437-7503","FLAGLER                  ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","1","1","0","14","0","0",""
"23072","Callaway Fire Department","252 N Star AVE","","Callaway","FL","32404","6601 E Highway 22","","","Callaway","FL","32404-9542","850-871-5300","850-871-5564","BAY                      ","Career","Local (includes career  combination  and volunteer)","https://www.cityofcallaway.com/index.aspx?nid=110","2","15","0","0","0","0","No"
"25012","Campbellton Volunteer Fire Department","5303 Hwy 231","PO Box 38","Campbellton","FL","32426-0038","","","PO Box 38","Campbellton","FL","32426-0038","(850) 263-4535","(850) 263-8502","JACKSON                  ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","14","0","0","1",""
"09021","Cantonment Volunteer Fire Department","2 Woodland AVE","","Cantonment","FL","32533-1155","2 Woodland AVE","","","Cantonment","FL","32533-1155","850-937-2210","850-968-8003","ESCAMBIA                 ","Volunteer","Local (includes career  combination  and volunteer)","","0","0","22","0","0","10",""
"19011","Cape Canaveral Volunteer Fire Department","8970 Columbia RD","","Cape Canaveral","FL","32920","8970 Columbia RD","","","Cape Canaveral","FL","32920-4234","321-783-4424","321-783-4887","BREVARD                  ","Mostly Career","Local (includes career  combination  and volunteer)","https://ccvfd.org/","2","31","25","0","2","4","Yes"
"18022","Cape Coral Fire  Rescue & Emergency Management","815 Nicholas PKWY","","Cape Coral","FL","33915","","","PO Box 150027","Cape Coral","FL","33915-0027","239-574-0501","239-242-3309","LEE                      ","Career","Local (includes career  combination  and volunteer)","https://www.capecoral.net/","10","210","0","0","15","5","Yes"
"18051","Captiva Island Fire Control District","14981 Captiva DR","","Captiva","FL","33924","","","PO Box 477","Captiva","FL","33924-0477","239-472-9494","239-472-0247","LEE                      ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.captivafire.com/","1","11","1","0","0","3","No"
"58031","Carr / Clarksville Fire Department","19024 NW State RD","73","Clarksville","FL","32430","19024 NW State RD","73","","Clarksville","FL","32430","100-100-1000","","CALHOUN                  ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","15","0","0","4",""
"15072","Cedar Hammock Fire Rescue","5200 26TH ST W","","Bradenton","FL","34207-2204","5200 26TH ST W","","","Bradenton","FL","34207-2204","941-751-7090","941-751-7095","MANATEE                  ","Career","Local (includes career  combination  and volunteer)","https://chfr.org/","4","54","0","0","2","0","No"
"39022","Cedar Key Volunteer Fire & Rescue","480 1ST ST","","Cedar Key","FL","32625","","","PO Box 128","Cedar Key","FL","32625-0128","352-543-5192","352-543-5560","LEVY                     ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","0","7","0","2","Yes"
"13011","Chaires-Capitola Volunteer Fire Department","10541 Valentine RD S","","Tallahassee","FL","32317","","","PO Box 13356","Tallahassee","FL","32317-3356","850-942-4033","850-942-4033","LEON                     ","Volunteer","Local (includes career  combination  and volunteer)","https://www.chairescapitolavfd.com","2","0","22","0","0","1","No"
"53021","Charlotte County Fire & EMS","22429 Edgewater DR","","Punta Gorda","FL","33980-2016","22429 Edgewater DR","","","Punta Gorda","FL","33980-2016","(941) 743-1367","(941) 625-1222","CHARLOTTE                ","Mostly Career","Local (includes career  combination  and volunteer)","","14","184","10","0","20","0",""
"35031","Cherry Lake Fire & Rescue  Inc.","2612 NE Cherry Lake CIR","","Pinetta","FL","32350-2147","2612 NE Cherry Lake CIR","","","Pinetta","FL","32350-2147","850-929-2354","","MADISON                  ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","8","0","0","1","No"
"39031","Chiefland Fire Rescue","16 NE 1ST ST","","Chiefland","FL","32626-0916","16 NE 1ST ST","","","Chiefland","FL","32626-0916","352-493-6771","352-493-6702","LEVY                     ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.chieflandfirerescue.com/","1","12","8","0","0","0","Yes"
"50012","Chipley Fire Department","1430 Jackson AVE","","Chipley","FL","32428","","","PO Box 1007","Chipley","FL","32428-7007","850-638-6301","850-638-6300","WASHINGTON               ","Mostly Volunteer","Local (includes career  combination  and volunteer)","https://www.cityofchipley.com/","1","1","18","0","0","0","Yes"
"47000","Citrus Sheriff Fire Rescue","1 Dr. Martin Luther King Jr. AVE","","Inverness","FL","34450","1 Dr. Martin Luther King Jr. AVE","","","Inverness","FL","34450-4968","352-341-2151","352-726-9669","CITRUS                   ","Mostly Volunteer","Local (includes career  combination  and volunteer)","https://www.sheriffcitrus.org/firerescue/fire_rescue.html","14","58","100","60","3","90","No"
"17032","City of Casselberry Fire Department","95 Triplet Lake DR","","Casselberry","FL","32707-3252","95 Triplet Lake DR","","","Casselberry","FL","32707-3252","(407) 262-7735","(407) 262-7770","SEMINOLE                 ","Career","Local (includes career  combination  and volunteer)","https://www.casselberry.org/index.aspx?nid=24","2","41","0","0","2","0",""
"12051","City of Clermont Fire Department","439 W Highway 50","","Clermont","FL","34711-3031","439 W Highway 50","","","Clermont","FL","34711-3031","352-394-7662","352-241-4904","LAKE                     ","Career","Local (includes career  combination  and volunteer)","https://www.clermontfl.gov/departments/fire-department/","4","54","0","0","2","0","No"
"19062","City of Cocoa Beach Fire Department","25 S Orlando AVE","","Cocoa Beach","FL","32931-2775","25 S Orlando AVE","","","Cocoa Beach","FL","32931-2775","321-868-3330","321-868-3366","BREVARD                  ","Career","Local (includes career  combination  and volunteer)","https://www.cityofcocoabeach.com/","2","27","0","0","1","0","Yes"
"18092","City of Fort Myers Fire Department","2404 Dr. Martin Luther King  Jr.  BLVD","","Fort Myers","FL","33901-3904","2404 Dr. Martin Luther King  Jr.  BLVD","","","Fort Myers","FL","33901-3904","239-321-7311","239-334-1625","LEE                      ","Career","Local (includes career  combination  and volunteer)","https://www.fortmyersfire.com/","6","131","0","0","12","0",""
"12111","City of Fruitland Park  Fire Department","506 W Breckman ST","","Fruitland Park","FL","34731-3239","506 W Breckman ST","","","Fruitland Park","FL","34731-3239","352-360-6654","352-360-6654","LAKE                     ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","0","25","0","0","Yes"
"11042","City of High Springs Fire Department","205 NW 1ST AVE","","High Springs","FL","32643-1003","205 NW 1ST AVE","","","High Springs","FL","32643-1003","386-454-2056","386-454-5805","ALACHUA                  ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","1","7","5","13","0","1","Yes"
"49031","City of LaBelle Fire Department","280 S Main ST","","LaBelle","FL","33935","280 S Main ST","","","LaBelle","FL","33935-4697","863-675-1537","863-342-8007","HENDRY                   ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","5","20","0","0","Yes"
"04042","City of Largo  Largo Fire Rescue","201 Highland AVE NE","","Largo","FL","33770","","","PO Box 296","Largo","FL","33779-0296","727-587-6714","727-587-6798","PINELLAS                 ","Career","Local (includes career  combination  and volunteer)","https://www.largo.com/","6","133","0","0","9","0","Yes"
"10062","City of Lauderhill Fire-Rescue","1980 NW 56TH AVE","","Lauderhill","FL","33313-4060","1980 NW 56TH AVE","","","Lauderhill","FL","33313-4060","954-730-2950","954-730-2955","BROWARD                  ","Career","Local (includes career  combination  and volunteer)","https://lauderhill-fl.gov/departments/fire-rescue-department","4","96","0","0","3","0","Yes"
"64052","City of Marco Island Fire Rescue","1280 San Marco RD","","Marco Island","FL","34145","1280 San Marco RD","","","Marco Island","FL","34145","(239) 289-5040","(239) 393-0099","COLLIER                  ","Career","Local (includes career  combination  and volunteer)","","2","29","0","0","3","0",""
"25022","City of Marianna Fire - Rescue","4425 Clinton ST","","Marianna","FL","32447","","","PO Box 936","Marianna","FL","32447-0936","850-482-2414","850-482-2957","JACKSON                  ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.cityofmarianna.com/125/Fire-Rescue","2","23","1","0","1","0","Yes"
"33012","City of Milton Fire Department","5321 Stewart ST","","Milton","FL","32570-4731","5321 Stewart ST","","","Milton","FL","32570-4731","850-983-5430","850-983-5433","SANTA ROSA               ","Career","Local (includes career  combination  and volunteer)","https://ci.milton.fl.us/city_services/fire/fire.htm","1","16","0","0","0","0","Yes"
"22012","City of Palatka Fire Department","500 N Moody RD","","Palatka","FL","32177","500 N Moody RD","","","Palatka","FL","32177","(386) 329-0155","(386) 329-0155","PUTNAM                   ","Mostly Career","Local (includes career  combination  and volunteer)","","2","17","0","6","0","1",""
"53012","City of Punta Gorda Fire Department","1410 Tamiami TRL","","Punta Gorda","FL","33950-5908","1410 Tamiami TRL","","","Punta Gorda","FL","33950-5908","941-575-5529","941-575-5565","CHARLOTTE                ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.ci.punta-gorda.fl.us/","3","26","20","0","2","1","Yes"
"04162","City of Seminole Fire Rescue Department","9199 113TH ST","","Seminole","FL","33772-2806","9199 113TH ST","","","Seminole","FL","33772-2806","727-393-8711","727-392-3656","PINELLAS                 ","Career","Local (includes career  combination  and volunteer)","https://www.myseminole.com/","4","73","0","0","7","0","Yes"
"20012","City of St. Augustine Fire Department","101 Malaga ST","","Saint Augustine","FL","32084","","","PO Box 210","Saint Augustine","FL","32085-0210","904-825-1099","904-825-1093","SAINT JOHNS              ","Career","Local (includes career  combination  and volunteer)","https://www.ci.st-augustine.fl.us/","2","33","0","0","1","0","Yes"
"45012","City of Starke Fire Department","105 E Jackson ST","","Starke","FL","32091","105 E Jackson ST","","","Starke","FL","32091-3321","904-964-7116","904-964-9693","BRADFORD                 ","Mostly Career","Local (includes career  combination  and volunteer)","","1","12","2","2","0","0","No"
"42082","City of Stuart Fire Rescue","800 S.E. Dr. Martin Luther King Jr. BLVD","","Stuart","FL","34994-2408","800 S.E. Dr. Martin Luther King Jr. BLVD","","","Stuart","FL","34994-2408","772-288-5360","772-288-5371","MARTIN                   ","Career","Local (includes career  combination  and volunteer)","https://www.cityofstuart.com","2","39","0","0","4","0","Yes"
"12042","City of Tavares Fire Department","424 E Alfred ST","","Tavares","FL","32778-3302","424 E Alfred ST","","","Tavares","FL","32778-3302","352-742-6205","352-742-6190","LAKE                     ","Career","Local (includes career  combination  and volunteer)","","2","23","0","0","1","0","No"
"48032","Clay County Department of Public Safety - Fire Rescue","2519 State Road 16 West","","Green Cove Springs","FL","32043","","","PO Box 1366","Green Cove Springs","FL","32043-1366","904-284-7703","904-284-7144","CLAY                     ","Mostly Career","Local (includes career  combination  and volunteer)","","14","160","30","0","15","0","Yes"
"04022","Clearwater Fire & Rescue","610 Franklin ST","","Clearwater","FL","33756","","","PO Box 4748","Clearwater","FL","33758-4748","727-562-4334","727-562-4328","PINELLAS                 ","Career","Local (includes career  combination  and volunteer)","https://www.myclearwater.com/","8","193","0","0","8","0","Yes"
"49021","Clewiston Volunteer Fire Department","112 Commercio ST","","Clewiston","FL","33440","112 Commercio ST","","","Clewiston","FL","33440","(863) 983-1499","(863) 983-4055","HENDRY                   ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","0","18","0","0",""
"19052","Cocoa Fire Department","300 Brunson BLVD","","Cocoa","FL","32922","300 Brunson BLVD","","","Cocoa","FL","32922","321-639-7610","321-639-7612","BREVARD                  ","Career","Local (includes career  combination  and volunteer)","","3","48","0","0","2","0",""
"10021","Coconut Creek Fire Rescue","4800 W Copans RD","","Coconut Creek","FL","33063","4800 W Copans RD","","","Coconut Creek","FL","33063","(954) 956-1534","(954) 420-5855","BROWARD                  ","Career","Local (includes career  combination  and volunteer)","","1","3","0","0","0","0",""
"29091","Columbia County Fire Rescue Department","509 SW Bascom Norris DR","","Lake City","FL","32025","","","PO Box 1529","Lake City","FL","32056-1529","386-754-7057","386-754-7064","COLUMBIA                 ","Mostly Volunteer","Local (includes career  combination  and volunteer)","https://www.columbiacountyfire.com/","9","57","0","72","1","5","No"
"25061","Compass Lake In The Hills Volunteer Fire Department","645 Compass Lake DR","","Alford","FL","32420","645 Compass Lake DR","","","Alford","FL","32420","(850) 579-2468","(850) 579-2467","JACKSON                  ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","25","0","0","8",""
"21071","Concord Volunteer Fire Department  Inc.","4838 Fairbanks Ferry RD","","Havana","FL","32333","","","PO Box 1125","Havana","FL","32333-1125","850-539-4693","850-539-4693","GADSDEN                  ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","15","0","0","0","No"
"10011","Cooper City Fire Department","10550 Stirling RD","","Hollywood","FL","33026-3405","10550 Stirling RD","","","Hollywood","FL","33026-3405","(954) 432-8905","(954) 433-1367","BROWARD                  ","Career","Local (includes career  combination  and volunteer)","","1","36","0","0","2","0",""
"01052","Coral Gables Fire & Rescue Department","2815 Salzedo ST","","Coral Gables","FL","33134-6609","2815 Salzedo ST","","","Coral Gables","FL","33134-6609","(305) 460-5571","","MIAMI-DADE               ","Career","Local (includes career  combination  and volunteer)","","3","140","0","0","6","0",""
"10151","Coral Springs Fire Department","2801 Coral Springs DR","","Coral Springs","FL","33065-3825","2801 Coral Springs DR","","","Coral Springs","FL","33065-3825","954-344-5934","954-344-5933","BROWARD                  ","Career","Local (includes career  combination  and volunteer)","https://www.coralsprings.org/Fire/index.cfm","8","164","0","0","9","140","No"
"03031","Cork-Knights Volunteer Fire Department","5302 Thonotosassa RD","PO Box 1303","Plant City","FL","33565","5302 Thonotosassa RD","","PO Box 1303","Plant City","FL","33565","(813) 757-3915","(813) 757-3915","HILLSBOROUGH             ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","15","0","0","15",""
"25011","Cottondale Volunteer Fire Department","2659 Front ST","","Cottondale","FL","32431-0398","","","PO Box 398","Cottondale","FL","32431-0398","(850) 352-4631","(850) 352-2033","JACKSON                  ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","11","0","0","0",""
"50015","Country Oaks Volunteer Fire Department","268 Quail Hollow BLVD","","Chipley","FL","32428","268 Quail Hollow BLVD","","","Chipley","FL","32428-4658","850-638-5090","","WASHINGTON               ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","4","0","0","2","Yes"
"22011","Crescent City Fire Department","201 N Summit ST","","Crescent City","FL","32112-2507","115 N Summit ST","","","Crescent City","FL","32112","(386) 698-1212","(386) 698-3491","PUTNAM                   ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","1","1","21","3","0","3",""
"43022","Crestview Fire Department","321 W Woodruff AVE","","Crestview","FL","32536-3467","321 W Woodruff AVE","","","Crestview","FL","32536-3467","850-682-6121","850-689-0275","OKALOOSA                 ","Career","Local (includes career  combination  and volunteer)","https://www.crestviewfl.org/","3","46","0","0","6","0","No"
"11041","Cross Creek Volunteer Fire Department","19109 S CR 325","","Hawthorne","FL","32640","19109 S CR 325","","","Hawthorne","FL","32640","(352) 466-3353","","ALACHUA                  ","Volunteer","Local (includes career  combination  and volunteer)","","2","0","12","0","0","0",""
"47031","Crystal River Fire Department","123 NW US Highway 19","","Crystal River","FL","34428-3930","123 NW US Highway 19","","","Crystal River","FL","34428-3930","352-795-1928","352-795-2105","CITRUS                   ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","0","17","0","1","Yes"
"28022","Dade City Fire Rescue","14317 4th  ST","","Dade City","FL","33523","14317 4th  ST","","","Dade City","FL","33523","(352) 521-1494","(352) 521-1498","PASCO                    ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.dadecityfl.com","1","22","0","15","1","0",""
"66081","Dalkeith Volunteer Fire Department","2731 County Road 381","","Wewahitchka","FL","32465-5510","2731 County Road 381","","","Wewahitchka","FL","32465-5510","100-100-1000","","GULF                     ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","10","0","0","4","No"
